file_path,last_commit_hash,last_commit_date_iso,last_commit_subject
"games/single-player/the-password-game/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/single-player/the-password-game/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/single-player/the-password-game/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/single-player/tower-builder/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/single-player/tower-builder/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/single-player/tower-builder/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/single-player/typing-test/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/single-player/typing-test/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/single-player/typing-test/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/single-player/wordle-inf/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/single-player/wordle-inf/game.js","9958b764d21fbffcd156d44ff80c37dccfb6fb06","2026-04-21T16:55:43-04:00","Fix UI/admin issues in 2048, cookie clicker, pac-man, and wordle"
"games/single-player/wordle-inf/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/single-player/wordle-inf/valid-wordle-words.txt","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/8-ball-pool/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/8-ball-pool/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/8-ball-pool/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/two-player/air-hockey/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/air-hockey/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/air-hockey/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/two-player/among-us-clone/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/among-us-clone/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/among-us-clone/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/two-player/battleship/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/battleship/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/battleship/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/two-player/checkers/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/checkers/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/checkers/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/two-player/chess/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/chess/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/chess/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/two-player/connect-4/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/connect-4/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/connect-4/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/two-player/dots-and-boxes/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/dots-and-boxes/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/dots-and-boxes/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/two-player/fireboy-watergirl-clone/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/fireboy-watergirl-clone/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/fireboy-watergirl-clone/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/two-player/hangman-2p/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/hangman-2p/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/hangman-2p/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/two-player/infinite-craft-multiplayer/data/icgg-import-progress.json","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/infinite-craft-multiplayer/data/wiki-recipes-lite.json","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/infinite-craft-multiplayer/game.css","a7aff5f900045230744f8e6638c98dafae90ba81","2026-04-21T21:30:50-04:00","Improve Infinite Craft recipe accuracy, dedupe inventory, and bubble sidebar UI"
"games/two-player/infinite-craft-multiplayer/game.js","4fa7e9b6289174c37648f68e6e0acec1d2064ed5","2026-04-23T16:34:03-04:00","Fix arcade UI issues and wire Pac-Man maze update"
"games/two-player/infinite-craft-multiplayer/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/two-player/ludo/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/ludo/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/ludo/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/two-player/mancala/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
